치매센터명,치매센터유형,소재지도로명주소,운영기관전화번호
충청북도 청주시 청원구 치매안심센터,치매안심센터,충청북도 청주시 청원구 오창읍 과학산업3로 238,043-201-3400,충청북도
달성군치매안심센터,치매안심센터,대구광역시 달성군 옥포읍 비슬로458길 6-2,053-668-3841,대구
노원구치매안심센터,치매안심센터,서울특별시 노원구 노해로437 노원구청 5층,02-911-7778,서울
장흥군보건소 치매안심센터,치매안심센터,전라남도 장흥군 장흥읍 동교1길 13,061-860-6491,전라남도
칠곡군치매안심센터,치매안심센터,경상북도 칠곡군 왜관읍 관문로1길 30,054-979-8242,경상북도
임실군치매안심센터,치매안심센터,전라북도 임실군 임실읍 호국로 1680,063-640-3373,전라북도
대구북구치매안심센터,치매안심센터,대구광역시 북구 성북로49 5층,053-665-4257,대구
대전광역치매센터,광역치매센터,대전광역시 중구 문화로 282,042-280-8968,대전
동구치매안심센터,치매안심센터,대전광역시 동구 현암로 22,042-621-6011,대전
중구치매안심센터,치매안심센터,대전광역시 중구 중앙로 100,042-288-8180,대전
서구치매안심센터,치매안심센터,대전광역시 서구 둔산서로 100,042-288-4470,대전
유성구치매안심센터,치매안심센터,대전광역시 유성구 박산로 177,042-611-5112,대전
대덕구치매안심센터,치매안심센터,대전광역시 대덕구 동춘당로 187,042-608-4491,대전
동구보건소 치매안심센터,치매안심센터,대구광역시 동구 동촌로 79,053-662-3218,대구
울산광역시남구치매안심센터,치매안심센터,울산광역시 남구 삼산중로 132,052-226-2323,울산
의령군치매안심센터,치매안심센터,경상남도 의령군 의령읍 의병로8길 16-1,055-570-4072,경상남도
순창군 치매안심센터,치매안심센터,전라북도 순창군 순창읍 교성로 135,063-650-5247,전라북도
충청북도광역치매센터,광역치매센터,충청북도 청주시 서원구 1순환로 767(개신동) 지오빌딩 3층,043-269-6891,충청북도
충청북도 청주시 상당구 치매안심센터,치매안심센터,충청북도 청주시 상당구 남일면 단재로 480,043-201-3100,충청북도
충청북도 청주시 서원구 치매안심센터,치매안심센터,충청북도 청주시 서원구 구룡산로 235 3층 (수곡동 위너스빌),043-201-3200,충청북도
충청북도 청주시 흥덕구 치매안심센터,치매안심센터,충청북도 청주시 흥덕구 비하로12번길 42 1층~2층,043-201-3300,충청북도
하동군치매안심센터,치매안심센터,경상남도 하동군 하동읍 군청로31,055-882-4000,경상남도
